ID,Question,Option1,Option2,Option3,Option4,Option5,Correct,Active
1,"Как называется короткое сочинение, в котором автор выражает свои мысли на какую-то тему?",Эссе,Роман,Сказка,Стихотворение,Пьеса,1,TRUE
2,Чем отличается диссертация от монографии?,"Диссертация — рукопись, монография — печатная книга",Ничем не отличаются,"Диссертация — художественная, монография — научная",Монография — это краткое содержание диссертации,Диссертация — это статья в журнале,1,TRUE
3,Какие жанры относятся к научной информации?,"Реферат, аннотация и рецензия",Заявление и приказ,Удостоверение и паспорт,Журнал и книга,Роман и эссе,1,TRUE
4,"Как называются доводы, которые автор использует, чтобы доказать свою правоту?",Аргументы,Причины,Следствия,Анализ,Синтез,1,TRUE
5,После какой части работы пишется заключение?,После основной части,После введения,После актуальности,После материалов и методов,После аннотации,1,TRUE
6,Какой этап создания работы идёт последним?,Оформление,Написание основной части,Написание выводов,Написание актуальности,Написание введения,1,TRUE
7,Какие части входят в композицию текста?,"Введение, основная часть и заключение",Только введение,Только заключение,Только основная часть,Вступление и результаты,1,TRUE
8,Что показывает график?,Как что-то меняется со временем,Таблицу с цифрами,Фотографию,Карту,Список,1,TRUE
9,Что НЕ относится к видам академического письма?,Язык средств массовой информации,Лекция,Монография,Диссертация,Доклад,1,TRUE
10,Что относится к видам академического письма?,Лекция,Статья из новостной газеты,Роман,Повесть,Рассказ,1,TRUE
11,Какая книга помогает изучить школьный предмет?,Учебник,Путеводитель,Монография,Статья,Доклад,1,TRUE
12,Как называется краткое изложение научной работы?,Реферат,Доклад,Рукопись,Диссертация,Статья,1,TRUE
13,Куда обычно выносят дополнительные материалы?,В приложения,В введение,В заключение,В выводы,В основную часть,1,TRUE
14,Что помогает освоить отдельную тему курса?,Учебное пособие,Статья,Монография,Диссертация,Доклад,1,TRUE
15,Какая форма речи используется в научном стиле?,Письменная,Устная,Диалоговая,Интервью,Песенная,1,TRUE
16,Что такое термин?,Специальное слово из науки,Аббревиатура,Переводчик,Понятие,СМИ,1,TRUE
17,Что такое тезисы?,Основные положения работы,Эссе,План,Содержание,Вступление,1,TRUE
18,Что помогает компактно представить данные в виде строк и столбцов?,Таблица,Реферат,Конспект,Выводы,Заключение,1,TRUE
19,Как называется первая страница научной работы?,Титульный лист,Введение,Шапка,ФИО автора,Эпиграф,1,TRUE
20,Что является простейшей рубрикой текста?,Абзац,План,Содержание,Титульный лист,Реферат,1,TRUE
21,Что содержит развёрнутую информацию о тексте?,Реферат,Монография,Монолог,Отчёт,Статья,1,TRUE
22,"Как называется красноречие, связанное с наукой?",Академическое,Дипломатическое,Национальное,Деловое,Духовное,1,TRUE
23,Что такое рубрикация текста?,Деление текста на части,Составление плана,Написание введения,Создание таблиц,Презентация,1,TRUE
24,Что такое конспект?,"Систематическая запись, объединяющая план и тезисы",Доклад,Статья,Эссе,Диссертация,1,TRUE
25,Какие свойства характерны для термина?,"Точное значение, отсутствие эмоций, нейтральный стиль",Эмоциональность,Двусмысленность,Разговорный стиль,Красочность,1,TRUE
26,Что такое текст?,Связное письменное или устное произведение,Диссертация,Монография,Реферат,Статья,1,TRUE
27,Что такое термин?,Слово из специальной области знаний,Аббревиатура,Понятие,Профессионализм,Жаргон,1,TRUE
28,Что является ядром специального языка?,Термин,Аббревиатура,Морфема,Профессионализм,Жаргон,1,TRUE
29,Какой подстиль связан с научными исследованиями?,Академический,Технический,Терминологический,Учебный,Образовательный,1,TRUE
30,Что такое терминология?,Совокупность специальных слов науки,Тавтология,Словарь,Условные обозначения,Диаграмма,1,TRUE
31,Что такое наука?,Система знаний о мире,Учение о принципах,Учение о формах,Стратегия,Опыт,1,TRUE
32,Что такое научное исследование?,Целенаправленное изучение чего-то,Выработка стратегии,Система методов,Учение о методах,Средство для работы,1,TRUE
33,Что такое методология?,Система методов в науке,Целенаправленное познание,Воспроизведение знаний,Учение о принципах,Совокупность приёмов,1,TRUE
34,Что такое теория?,Обобщение опыта в какой-то области,Выработка стратегии,Целенаправленное познание,Система методов,Совокупность целей,1,TRUE
35,Что лежит в основе методологии исследования?,Общий метод,Диагностический метод,Обобщение практики,Правила искусства,Правила науки,1,TRUE
36,Что такое план-проспект?,Документ о содержании будущей работы,Научный документ,Конспект,План научной работы,Реферат,1,TRUE
37,Что такое аннотация?,Краткая характеристика содержания книги,Краткое содержание,Документ о положениях,Научный документ,Рецензия,1,TRUE
38,Где размещаются приложения в книге?,В конце,В начале,В конце каждой главы,В середине,В виде таблиц,1,TRUE
39,Что содержит предметный указатель?,Перечень тем книги,Перечень авторов,Список источников,Список терминов,Библиографию,1,TRUE
40,Что характерно для научного текста?,"Связность, логичность, доказательность",Краткость,Эмоциональность,Разговорный стиль,Жаргон,1,TRUE
41,От какого лица ведётся речь в научной работе?,От третьего лица,От первого,От нейтрального,От второго,От четвёртого,1,TRUE
42,Как автор диссертации обычно обращается к себе?,Мы,Я,Он,Ты,Вы,1,TRUE
43,Какое качество важно для автора научного текста?,Ясность и доступность изложения,Каллиграфия,Умение писать левой рукой,Красота почерка,Скорость письма,1,TRUE
44,Какое требование предъявляется к научной работе?,"Краткость, избегание повторов",Объёмность,Использование повторов,Много цитат,Художественность,1,TRUE
45,Что является итоговой работой для бакалавра?,Выпускная квалификационная работа,Учебная работа,Научный труд,Методический труд,Диссертация,1,TRUE
46,Что является выпускной работой для магистра?,Магистерская диссертация,Научный труд,Методический труд,Дипломная работа,Монография,1,TRUE
47,Что такое текстовые выделения?,"Буквы или слова, набранные иначе",Знаки препинания,Цифры,Латинские буквы,Новая строка,1,TRUE
48,Как должна соответствовать цитата оригиналу?,"Точно, со ссылкой на источник",Приблизительно,По смыслу,В своих словах,Сокращённо,1,TRUE
49,Что такое таблица?,Данные в строках и столбцах,Часть труда,Метод изложения,Принцип наглядности,Иллюстрация,1,TRUE
50,Каким должен быть иллюстративный материал?,Понятным и связанным с текстом,Разноцветным,Обширным,Отсутствовать,Художественным,1,TRUE
51,Что такое график?,"Чертёж, показывающий зависимость",Разноцветный чертёж,Геометрическое изображение,Часть труда,Вводная часть,1,TRUE
52,Что такое диаграмма?,"Чертёж, показывающий соотношение величин",Основная часть труда,Чертёж плана,Графическое изображение выводов,План-конспект,1,TRUE
53,Что такое схема?,Иллюстрация устройства или структуры,Чертёж плана,Вводная часть,Иллюстрация цитирования,План-конспект,1,TRUE
54,Что такое библиографическое описание?,Сведения о книге или документе,Заключительная часть,Краткое содержание,Сведения об авторах,Аннотация,1,TRUE
55,Где размещается библиографический список?,После заключения,В начале,В приложениях,В введении,В основной части,1,TRUE
56,Какие источники включаются в список литературы диплома?,"Только те, на которые есть ссылки",Любые по теме,Публикации автора,Только авторитетные,Только руководителя,1,TRUE
57,Что такое подпись к иллюстрации?,Текст под рисунком,Краткое резюме,Часть труда,Аннотация,Роспись автора,1,TRUE
58,Для чего служат выделения в тексте?,Для разграничения частей по важности,Для привлечения внимания,Для красоты,Для улучшения качества,Для конспектирования,1,TRUE
59,Что такое предметная рубрика?,Словосочетание для поиска в тексте,Заключение,Словарь,Список авторов,Библиография,1,TRUE
60,Что такое авторское право?,Право автора на своё произведение,Часть закона,Налог,Спрос у читателей,Защита законом,1,TRUE
61,Как обычно используются произведения?,Путём публикации,Только в виде книг,Только в журналах,Для изучения,В виде пособий,1,TRUE
62,Что такое соавторство?,Совместное создание произведения,Совместная деятельность,Совместное творчество,Общая работа,Общая тема,1,TRUE
63,Что такое рецензия?,Критический разбор и оценка работы,Выводы,Обобщение,Заключение,Аннотация,1,TRUE
64,На что направлены фундаментальные исследования?,На создание теории,На практические рекомендации,На обобщение,На гипотезу,На стратегию,1,TRUE
65,Что решают прикладные исследования?,Практические вопросы,Научные открытия,Теоретические вопросы,Гипотезы,Неотложные задачи,1,TRUE
66,Что содержат разработки?,Результаты для практического применения,Выводы,Рекомендации,Обобщения,Гипотезы,1,TRUE
67,Что такое стихийно-эмпирическое знание?,Знание из практики,Теоретическое знание,Вторичное знание,Нейтральное,Рекомендации,1,TRUE
68,Кто занимается научным познанием?,Специально подготовленные люди,Все подряд,Только студенты,Только аспиранты,Выборочные кандидаты,1,TRUE
69,Что делает проблема?,Побуждает к познанию,Показывает трудности,Указывает на отсутствие решения,Определяет задачи,Преодолевает препятствия,1,TRUE
70,Что предполагает обоснование проблемы?,Поиск аргументов,Поиск методов,Научная деятельность,Отсутствие результатов,Определение задач,1,TRUE
71,Что должно быть в формулировке темы?,Актуальность и новизна,Только актуальность,Только новизна,Практическая значимость,Обоснование,1,TRUE
72,Что такое объект исследования?,Явление или процесс для изучения,Процесс,Явление,Проблема,Вопрос,1,TRUE
73,Что такое предмет исследования?,"То, что изучается внутри объекта",Явление,Определение,Направление,Взгляд,1,TRUE
74,К чему может привести неправильный выбор объекта?,К ошибкам,К неправильным выводам,К практическим ошибкам,К теоретическим ошибкам,К отсутствию результата,1,TRUE
75,Что такое цель исследования?,"То, что нужно достичь",Конечный результат,Направление,Улучшение,Деятельность,1,TRUE
76,Что позволяют определить цель и задачи?,Логику и шаги работы,Здоровье,Основные шаги,Главу работы,Стратегию,1,TRUE
77,Что такое гипотеза?,"Предположение, требующее проверки",Теоретическое заключение,Научное решение,Практическое обобщение,Введение,1,TRUE
78,Что определяют при завершении работы?,Новое знание и его значение,Выводы,Заключение,Список источников,Результаты,1,TRUE
79,Сколько времени даётся на защиту диссертации?,Около 20 минут,8 минут,10 минут,40 минут,50 минут,1,TRUE
80,Чем завершается защита диплома?,Выставлением оценки,Выводами,Голосованием,Итогами,Апелляцией,1,TRUE
81,Какая форма обучения обязательна в вузе?,Практика,Полевые занятия,Лабораторные,Стажировка,Экскурсии,1,TRUE
82,Что относится к научным изданиям?,"Монографии, статьи, сборники",Только монографии,Только сборники,Только конференции,Энциклопедии,1,TRUE
83,Что такое акт внедрения?,Документ об эффективности результатов,Апробация,Выдача документа,Результат работы,Научный отчёт,1,TRUE
84,Когда определяется значение работы?,На начальном этапе,При обосновании,При выборе темы,При выборе проблемы,При определении задач,1,TRUE
85,Что учитывают при оценке новизны?,"Вид результата, уровень новизны, описание",Только вид,Только уровень,Только описание,Обсуждение,1,TRUE
86,Что такое задачи исследования?,Обоснованное представление о результатах,Цель,Гипотеза,Тема,Обзор,1,TRUE
87,Что не входит в объём работы?,Приложения,Титульный лист,Введение,Содержание,Иллюстрации,1,TRUE
88,Что такое познание?,Способность понимать мир,Умение рассуждать,Процесс накопления знаний,Сознательность,Восприятие,1,TRUE
89,Что такое логика?,Наука о правильном мышлении,Наука о противоречии,Учение о бытии,Учение о познании,Наука о жизни,1,TRUE
90,Что такое гносеология?,Учение о познании,Учение о бытии,Учение о душе,Учение о боге,Учение о космосе,1,TRUE
91,Как называется использование чужих идей под своим именем?,Плагиат,Авторское право,Диссертация,Автореферат,Цитирование,1,TRUE
92,Что регулирует авторское право?,Отношения с произведениями,Воровство,Интеллектуальную собственность,Патенты,Ссылки,1,TRUE
93,Что такое рецензирование?,Проверка работы экспертами,Реферирование,Аннотация,Отзыв,Обзор,1,TRUE
94,Что такое научный метод?,Система приёмов для познания,Способ,Принцип,Подход,Приём,1,TRUE
95,Что такое эмпирические исследования?,Основанные на опыте,Теоретические,Эксперименты,Обобщения,Описания,1,TRUE
96,Что такое эссе?,Небольшое сочинение со своими мыслями,Рассказ,Доклад,Реферат,Статья,1,TRUE
97,Что такое теоретические исследования?,Основанные на умозаключениях,На опыте,Эксперименты,Обобщения,Описания,1,TRUE
98,Что такое грант?,Безвозмездная субсидия на исследования,Премия,Награда,Ссуда,Кредит,1,TRUE
99,Что такое введение в работе?,Начальная часть с основными понятиями,Выводы,Заключение,Результаты,Обсуждение,1,TRUE
100,Что такое выводы?,Заключение по итогам исследования,Введение,Приложение,Результаты,Обсуждение,1,TRUE
101,Что такое актуальность темы?,Важность темы сейчас,Проблема,Цели,Методы,Выводы,1,TRUE
102,Что такое план научного произведения?,Содержание по разделам,Основная часть,Содержание со страницами,Перспективный план,Стратегический план,1,TRUE
103,Где размещается обзор литературы?,После введения,После основной части,Перед выводами,В приложении,В списке источников,1,TRUE
104,Что такое ключевые слова?,"Слова, отражающие содержание текста",Терминологический словарь,Предметный указатель,Сокращения,Определения,1,TRUE
105,Сколько ключевых слов рекомендуется в статье?,5-7,15-20,2-3,120,60,1,TRUE
106,Что такое оглавление?,Обязательный элемент работы,Раздел,Часть книги,Составная часть титульного листа,Резюме,1,TRUE
107,Что такое резюме?,Краткое изложение содержания,Заключение,Рекомендации,Выводы,Аннотация,1,TRUE
108,Что такое наблюдение?,Планомерное изучение явления,Сравнение,Анализ,Синтез,Классификация,1,TRUE
109,Что такое вариационный ряд?,Ряд с повторяемостью значений,Веса,Частоты,Объём,Всё вместе,1,TRUE
110,Что такое абзац?,Отступ в начале строки,Отступ влево,Отступ вверху,Отступ внизу,Начало главы,1,TRUE
111,Какие признаки относятся к количественным?,"Длина, число",Цвет,Состояние,Запах,Вкус,1,TRUE
112,Какое качество важно для автора текста?,Ясность,Каллиграфия,Умение писать левой рукой,Скорость,Документальность,1,TRUE
113,Что такое научная статья?,Результат научного исследования,Учебник,Роман,Рассказ,Доклад,1,TRUE
114,Что такое доклад?,Устное сообщение на конференции,Статья,Книга,Реферат,Монография,1,TRUE
115,Что такое степень достоверности?,Уровень уверенности в результате,Точность,Правильность,Новизна,Актуальность,1,TRUE
116,Что такое апробация?,Проверка на практике,Публикация,Защита,Рецензирование,Обсуждение,1,TRUE
117,Что такое научная новизна?,Новые результаты в работе,Актуальность,Практическая значимость,Достоверность,Объективность,1,TRUE
118,Что такое практическая значимость?,Возможность применения в жизни,Теоретическая ценность,Новизна,Достоверность,Актуальность,1,TRUE
119,Что такое достоверность?,Подтверждённость результатов,Новизна,Актуальность,Практичность,Объективность,1,TRUE
120,Что такое объективность?,Независимость от мнения автора,Новизна,Актуальность,Практичность,Достоверность,1,TRUE
